Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
Xpress Mart of Pasco (Store),1724 W Clark St  Pasco WA 99301,"Xpress Mart of Pasco ,1724 W Clark St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2283134,-119.1128387
Yoke's Fresh Market (Store),454  Keene Rd  Richland WA 99352,"Yoke's Fresh Market ,454  Keene Rd  Richland WA 99352",0 Seats,Permitted,(None,(Store),Food Service,46.23751,-119.2812851
Yoke's Fresh Market (Coffee),1410 W 27th Ave  Kennewick WA 99337,"Yoke's Fresh Market ,1410 W 27th Ave  Kennewick WA 99337",0 Seats,Permitted,(None,(Coffee),Food Service,46.18554055,-119.1389596
Yoke's Fresh Market (Store),1401  Bombing Range Rd  West Richland WA 99353,"Yoke's Fresh Market ,1401  Bombing Range Rd  West Richland WA 99353",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2873268,-119.3521072
Yoke's Fresh Market (Store),4905  Road 68   Pasco WA 99301,"Yoke's Fresh Market ,4905  Road 68   Pasco WA 99301",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2604515,-119.1809685
Yoke's Fresh Market (Store),1410 W 27th Ave  Kennewick WA 99337,"Yoke's Fresh Market ,1410 W 27th Ave  Kennewick WA 99337",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.18554055,-119.1389596
El Jazmin (Store),704 S Columbia AveÂ  Connell WA 99326,"El Jazmin, 704 S Columbia AveÂ  Connell WA 99326",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.6540581,-118.8609688
Castilleja Bakery,2120 N 4th AveÂ  Pasco WA 99301,"Castilleja Bakery, 2120 N 4th AveÂ  Pasco WA 9",Bakery,,Bakery,,Grocery or other Store that Sells Produce,46.2473597,-119.095244
"Juanitos Foods, LLC (Store)",1620 W Clark StÂ  Pasco WA 99301,"Juanitos Foods LLC, 1620 W Clark StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.22856369,-119.1099292
Panaderia Estrella,615 W Columbia DrÂ  Kennewick WA 99336,"Panaderia Estrella, 615 W Columbia DrÂ  Kennewick WA 99336",Bakery w/ PHF,,Bakery w/ PHF,,Grocery or other Store that Sells Produce,46.21674027,-119.1264807
"La Rosa Picosa, LLC",1412 N 14th AveÂ  Pasco WA 99301,"La Rosa Picosa LLC, 1412 N 14th AveÂ  Pasco WA 99301",Bakery w/o PHF,,Bakery w/ PHF,,Grocery or other Store that Sells Produce,46.24081135,-119.1075733
Tortilleria Las Palmas (Store),1108 W Sylvester StÂ  Pasco WA 99301,"Tortilleria Las Palmas, 1108 W Sylvester StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.23396115,-119.1045538
Rancho Meat Market (Store),4903Â  Robert Wayne DrÂ  Pasco WA 99301,"Rancho Meat Market, 4903Â  Robert Wayne DrÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.27067371,-119.175227
Carniceria Los Toreros (Store),2115 E Lewis StÂ  Pasco WA 99301,"Carniceria Los Toreros, 2115 E Lewis StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.23383402,-119.068484
Carniceria La Cabana #4 (Store),5426 N Road 68 Â  Pasco WA 99301,"Carniceria La Cabana, 5426 N Road 68   Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2766193,-119.187234
Carniceria La Carreta (Store),1305 W 4th AveÂ  Kennewick WA 99336,"Carniceria La Carreta, 1305 W 4th AveÂ  Kennewick WA 99336",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.205674,-119.136316
Los Toreros Tienda y Carniceria (Store),618Â  9th StÂ  Benton City WA 99320,"Los Toreros Tienda y Carniceria, 618Â  9th StÂ  Benton City WA 99320",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.26368597,-119.4877518
Carniceria La Cabana #3 (Store),4311 W Clearwater AveÂ  Kennewick WA 99336,"Carniceria La Cabana, 4311 W Clearwater AveÂ  Kennewick WA 99336",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.21228882,-119.1785749
"Carniceria 3 Pueblos, LLC (Store)",2446 W Kennewick AveÂ  Kennewick WA 99336,"Carniceria 3 Pueblos LLC, 2446 W Kennewick AveÂ  Kennewick WA 99336",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.20951721,-119.1525385
Los Vecinos (Store),804Â  6th StÂ  Prosser WA 99350,"Los Vecinos, 804Â  6th StÂ  Prosser WA 99350",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.20440648,-119.7682381
Panaderia Colima,801 W Clark StÂ  Pasco WA 99301,"Panaderia Colima, 801 W Clark StÂ  Pasco WA 99301",Bakery w/ PHF,,Bakery w/ PHF,,Grocery or other Store that Sells Produce,46.230245,-119.0983
3 Pueblos Meat Market (Store),1212 N 4th AveÂ  Pasco WA 99301,"3 Pueblos Meat Market, 1212 N 4th AveÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2386807,-119.0952986
La Palma Grocery & Deli (Store),2020 E Lewis StÂ  Pasco WA 99301,"La Palma Grocery & Deli, 2020 E Lewis StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.233674,-119.069285
La Hacienda Meat Market (Store),4242 W Van Giesen Â  West Richland WA 99353,"La Hacienda Meat Market, 4242 W Van Giesen Â  West Richland WA 99353",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.29882489,-119.3424682
Carniceria Los Toreros (Store),210Â  Chardonnay AveÂ  Prosser WA 99350,"Carniceria Los Toreros, 210Â  Chardonnay AveÂ  Prosser WA 99350",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2181949,-119.7869282
Carniceria El Sol LLC (Store),623Â  9th StÂ  Benton City WA 99320,"Carniceria El Sol LLC, 623Â  9th StÂ  Benton City WA 99320",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2637017,-119.487751
La Palma Market (Store),2120 E Lewis Â  Pasco WA 99301,"La Palma Market, 2120 E Lewis Â  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.23335881,Ê-119.06772072405315
El Torito MX Market (Store),420 W Lewis StÂ  Pasco WA 99301,"El Torito MX Market, 420 W Lewis StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2305483,-119.091251
Ramirez Shellfish (Store),1202 W Lewis StÂ  Pasco WA 99301,"Ramirez Shellfish, 1202 W Lewis StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.22788419,-119.1028385
Amarilis's Meat Market (Store),1825 W Court StÂ  Pasco WA 99301,"Amarilis's Meat Market, 1825 W Court StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2419069,-119.113887
La Cabana #2 Meat Market (Store),1501 W Court StÂ  Pasco WA 99301,"La Cabana #2 Meat Market, 1501 W Court StÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2417723,-119.1081017
"Carniceria La Mas Barata, Inc (Store)",214 N 4th AveÂ  Pasco WA 99301,"Carniceria La Mas Barata Inc, 214 N 4th AveÂ  Pasco WA 99301",1-4 Registers (Grocery),,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2320463,-119.0933658
Carniceria La Cabana #3 - Richland - (Grocery),1305Â  Jadwin AveÂ  Richland WA 99354,"Carniceria La Cabana, 1305Â  Jadwin AveÂ  Richland WA 99354",1-4 Registers (Grocery),,(Grocery),(Grocery),Grocery or other Store that Sells Produce,46.28639241,-119.2778681
