Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
Circle K #2706031 (Store),12231 W Clearwater Ave  Kennewick WA 99338,"Circle K  ,12231 W Clearwater Ave  Kennewick WA 99338",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.1966135,-119.2647556
Circle K #2706033 (Store),4201 W 27th Ave  Kennewick WA 99336,"Circle K  ,4201 W 27th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.18482493,-119.1769101
Circle K #2706034 (Store),7707 W Deschutes Ave  Kennewick WA 99336,"Circle K  ,7707 W Deschutes Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.21250254,-119.2249905
Circle K #2706035 (Store),2105 W 4th Ave  Kennewick WA 99336,"Circle K  ,2105 W 4th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2055643,-119.1487554
Circle K #2706036 (Store),4410 W 10th Ave  Kennewick WA 99336,"Circle K  ,4410 W 10th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2000718,-119.1809822
Circle K #2706037 (Store),3957  Van Giesen St  West Richland WA 99353,"Circle K  ,3957  Van Giesen St  West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.29664144,-119.3393172
Circle K #2706039 (Store),4805  Rd 68   Pasco WA 99301,"Circle K  ,4805  Rd 68   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2604515,-119.1809685
Circle K #2706040 (Store),660 S Columbia Ave  Connell WA 99326,"Circle K  ,660 S Columbia Ave  Connell WA 99326",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.65455575,-118.8606056
Circle K #2706043 (Store),1915 N Columbia Center Blvd  Richland WA 99352,"Circle K  ,1915 N Columbia Center Blvd  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2346877,-119.2232339
Circle K #2706044 (Store),2601  Queensgate Dr  Richland WA 99352,"Circle K  ,2601  Queensgate Dr  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.25806513,-119.3075679
Circle K #2706048 (Store),1900 N Steptoe St  Kennewick WA 99336,"Circle K  ,1900 N Steptoe St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.22868857,-119.2437873
Circle K #2706049 (Store),6006  Clearwater Ave  Kennewick WA 99336,"Circle K  ,6006  Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.21314485,-119.2017479
Circle K #2706050 (Store),2305 W Argent Rd  Pasco WA 99301,"Circle K  ,2305 W Argent Rd  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.25266521,-119.132113
Circle K #9662 (Store),22 S Gum St  Kennewick WA 99336,"Circle K  ,22 S Gum St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2072633,-119.1071947
City Market (Store),415 S Rainier St  Kennewick WA 99336,"City Market ,415 S Rainier St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2053744,-119.1429359
Columbia Market (Store),1831 W Cartmell St  Pasco WA 99301,"Columbia Market ,1831 W Cartmell St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2406903,-119.1123046
